,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
39972,20210125,OI0001,664671222907269208,664671223000000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,6,92,25,23,64,14,12,18,42,10,9811.0,116472,11404572850.0,0.0,0.0,0.03542399999969348,EsunnyL2,20210125
39973,20210125,OI0001,664671223158109454,664671223250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,6,92,25,23,64,14,12,18,42,10,9811.0,116472,11404572850.0,0.0,0.0,0.03741500000069209,EsunnyL2,20210125
39974,20210125,OI0001,664671223408266109,664671223500000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,3,92,25,23,64,14,12,18,42,10,9811.0,116475,11404867180.0,0.0,-364820.0,-0.21253000000069733,EsunnyL2,20210125
39977,20210125,OI0001,664671223658509914,664671223750000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,93,25,23,64,37,1,14,12,18,42,9811.0,116479,11405259620.0,0.0,11405259620.0,-0.17862699999932374,EsunnyL2,20210125
39978,20210125,OI0001,664671223908466736,664671224000000000,9810.0,9812.0,9811.0,9810.0,9809.0,9812.0,9815.0,9816.0,9817.0,9818.0,92,12,28,42,8,14,42,6,14,14,9811.0,116481,0.0,2.0,-11405259620.0,-0.3263759999990725,EFH_SF,20210125
39979,20210125,OI0001,664671224158783997,664671224250000000,9810.0,9809.0,9808.0,9807.0,9806.0,9812.0,9813.0,9814.0,9815.0,9816.0,92,25,23,67,37,14,12,18,42,10,9811.0,116481,11405455840.0,0.0,11405455840.0,-0.5527419999998529,EsunnyL2,20210125
39980,20210125,OI0001,664671224408919301,664671224500000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,92,25,23,67,37,2,15,12,18,42,9811.0,116482,11405553950.0,0.0,11405553950.0,-0.10279999999875145,EsunnyL2,20210125
39982,20210125,OI0001,664671224659094867,664671224750000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,92,25,23,67,37,5,15,12,18,42,9811.0,116485,11405848280.0,0.0,-362920.0,-0.2910649999994348,EsunnyL2,20210125
39984,20210125,OI0001,664671224909197752,664671225000000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,92,25,23,67,37,5,15,12,18,41,9811.0,116485,11405848280.0,0.0,0.0,-0.41697299999941606,EsunnyL2,20210125
39985,20210125,OI0001,664671225159407259,664671225250000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,92,25,23,67,37,5,15,12,18,41,9811.0,116485,11405848280.0,0.0,0.0,-0.5177490000005491,EsunnyL2,20210125
