,DATETIME,LOG_TYPE,LOG_NAME,INSTRUMENT_ID,DIRECTION,LIMIT_PRICE,VOLUME,REF_ID,REM_ID,STATUS,FRONT_ID,SESSION_ID,ORDER_SYS_ID,STATUS_MSG,OF_FLAG,INSERT_TIME,ACTIVE_TIME,SUSPEND_TIME,UPDATE_TIME,CANCLE_TIME,LOCAL_ORDER_ACK_TIME,CURRENT_VOLUME,TRADED_VOLUME,TIME,TIME_IN_FORCE,SESSION,TYPE,MACHINE_TIMESTAMP_DATA,AS_OF_DATE
59,2021-01-22 21:00:11.309,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9767.0,3,10011-1,0,LIVE,0,10060,ON210125QV00000073,"""2021012500080868""",4,0.0,6.64664411308271e+17,0.0,0.0,0.0,2021-01-22 21:00:11.309230,3,,,,1,1.0,,20210125
60,2021-01-22 21:00:11.309,ORDER_LOG,Remove from submit order map,OI105,BUY,9767.0,3,10011-1,0,LIVE,0,10060,ON210125QV00000073,"""2021012500080868""",4,0.0,6.64664411308271e+17,0.0,0.0,0.0,2021-01-22 21:00:11.309230,3,,2021-01-22 21:00:11.309237504,,1,1.0,,20210125
61,2021-01-22 21:00:11.314,ORDER_LOG,liveOrderMap update.,OI105,BUY,9767.0,3,10011-1,0,LIVE,0,10060,ON210125QV00000073,"""2021012500080868""",4,0.0,6.64664411308271e+17,0.0,0.0,0.0,2021-01-22 21:00:11.313589,2,1.0,,,1,1.0,,20210125
62,2021-01-22 21:00:11.349,ORDER_LOG,liveOrderMap update.,OI105,BUY,9767.0,3,10011-1,0,LIVE,0,10060,ON210125QV00000073,"""2021012500080868""",4,0.0,6.64664411308271e+17,0.0,0.0,0.0,2021-01-22 21:00:11.348154,1,1.0,,,1,1.0,,20210125
63,2021-01-22 21:00:11.377,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9767.0,3,10011-1,0,DEAD,0,10060,ON210125QV00000073,"""2021012500080868""",4,0.0,6.64664411308271e+17,0.0,0.0,0.0,2021-01-22 21:00:11.377505,0,,,,1,1.0,,20210125
64,2021-01-22 21:00:11.559,ORDER_LOG,submitting order,OI105,BUY,9767.0,3,10012-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:11.558437120,GOOD_TILL_CANCEL,1,0.0,2021-01-22 21:00:11.558430848,20210125
65,2021-01-22 21:00:11.564,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9767.0,3,10012-1,0,LIVE,0,10060,ON210125QV00000076,"""2021012500081388""",1,0.0,6.646644115584371e+17,0.0,0.0,0.0,2021-01-22 21:00:11.564343,3,,,,1,0.0,,20210125
66,2021-01-22 21:00:11.564,ORDER_LOG,Remove from submit order map,OI105,BUY,9767.0,3,10012-1,0,LIVE,0,10060,ON210125QV00000076,"""2021012500081388""",1,0.0,6.646644115584371e+17,0.0,0.0,0.0,2021-01-22 21:00:11.564343,3,,2021-01-22 21:00:11.564350336,,1,0.0,,20210125
67,2021-01-22 21:00:11.725,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9767.0,3,10012-1,0,DEAD,0,10060,ON210125QV00000076,"""2021012500081388""",1,0.0,6.646644115584371e+17,0.0,0.0,0.0,2021-01-22 21:00:11.725103,0,,,,1,0.0,,20210125
68,2021-01-22 21:00:12.809,ORDER_LOG,submitting order,OI105,SELL,9768.0,3,10013-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:12.809401472,GOOD_TILL_CANCEL,1,1.0,2021-01-22 21:00:12.809393536,20210125
